match_number,round,group,first_team,second_team,pairing_probability,first_win_probability,draw_probability,second_win_probability,first_advancement_probability,second_advancement_probability,simulation_count
87,round_of_32,,DR Congo,Norway,0.009,,,,0.1901200609170506,0.8098799390829494,18.0
87,round_of_32,,Uzbekistan,Norway,0.0085,,,,0.2288601603888101,0.7711398396111899,17.0
87,round_of_32,,Portugal,Germany,0.008,,,,0.514989898547826,0.485010101452174,16.0
87,round_of_32,,Uzbekistan,France,0.008,,,,0.1575781325392475,0.8424218674607524,16.0
87,round_of_32,,Colombia,Germany,0.0075,,,,0.5087978842668568,0.4912021157331432,15.0
87,round_of_32,,Colombia,Curaçao,0.007,,,,0.9117406539642272,0.0882593460357727,14.0
87,round_of_32,,Uzbekistan,Ecuador,0.0065,,,,0.2498928857038892,0.7501071142961108,13.0
87,round_of_32,,DR Congo,Iraq,0.0055,,,,0.5801614847115346,0.4198385152884654,11.0
87,round_of_32,,Uzbekistan,Senegal,0.0055,,,,0.3618100316905909,0.6381899683094091,11.0
87,round_of_32,,DR Congo,Ivory Coast,0.0045,,,,0.3330323405105153,0.6669676594894847,9.0
87,round_of_32,,Portugal,Australia,0.0045,,,,0.7301180802336537,0.2698819197663463,9.0
87,round_of_32,,Uzbekistan,Ivory Coast,0.0045,,,,0.3974875962942853,0.6025124037057147,9.0
87,round_of_32,,Uzbekistan,Germany,0.004,,,,0.2060833684928959,0.793916631507104,8.0
87,round_of_32,,DR Congo,Curaçao,0.0035,,,,0.740450645957015,0.2595493540429849,7.0
87,round_of_32,,DR Congo,Germany,0.0035,,,,0.1735709772764721,0.8264290227235278,7.0
87,round_of_32,,Portugal,Paraguay,0.0035,,,,0.7422544023185602,0.2577455976814398,7.0
87,round_of_32,,Portugal,United States,0.0035,,,,0.7623577003004743,0.2376422996995256,7.0
87,round_of_32,,Colombia,Paraguay,0.003,,,,0.7384398028517586,0.2615601971482414,6.0
87,round_of_32,,Colombia,Turkey,0.003,,,,0.6117399641781387,0.3882600358218613,6.0
87,round_of_32,,DR Congo,Austria,0.003,,,,0.239449798519907,0.7605502014800929,6.0
87,round_of_32,,DR Congo,Paraguay,0.003,,,,0.3393338681309993,0.6606661318690007,6.0
87,round_of_32,,Colombia,Argentina,0.0025,,,,0.3110715919399893,0.6889284080600107,5.0
87,round_of_32,,Colombia,Ivory Coast,0.0025,,,,0.7186228689478478,0.2813771310521522,5.0
87,round_of_32,,Portugal,Turkey,0.0025,,,,0.6180711085183225,0.3819288914816775,5.0
87,round_of_32,,Colombia,Algeria,0.002,,,,0.6676914083478788,0.3323085916521212,4.0
87,round_of_32,,Colombia,United States,0.002,,,,0.7557638562360998,0.2442361437639002,4.0
87,round_of_32,,DR Congo,Algeria,0.002,,,,0.2807890186013724,0.7192109813986276,4.0
87,round_of_32,,Uzbekistan,Curaçao,0.002,,,,0.7816230532599203,0.2183769467400796,4.0
87,round_of_32,,Colombia,Austria,0.0015,,,,0.6220805225295928,0.3779194774704072,3.0
87,round_of_32,,DR Congo,Turkey,0.0015,,,,0.2353328724427911,0.7646671275572088,3.0
87,round_of_32,,Portugal,Algeria,0.0015,,,,0.6723404820761971,0.3276595179238029,3.0
87,round_of_32,,Colombia,Australia,0.001,,,,0.7244620689394538,0.2755379310605462,2.0
87,round_of_32,,DR Congo,Australia,0.001,,,,0.3310218561337722,0.6689781438662278,2.0
87,round_of_32,,DR Congo,United States,0.001,,,,0.3638900393720349,0.6361099606279651,2.0
87,round_of_32,,Portugal,Argentina,0.001,,,,0.3122500876968886,0.6877499123031114,2.0
87,round_of_32,,Portugal,Austria,0.001,,,,0.6270449986351238,0.3729550013648762,2.0
87,round_of_32,,Portugal,Jordan,0.001,,,,0.8621703614113095,0.1378296385886904,2.0
87,round_of_32,,Uzbekistan,Australia,0.001,,,,0.3951842026030812,0.6048157973969188,2.0
87,round_of_32,,Uzbekistan,Turkey,0.001,,,,0.2805939251491117,0.7194060748508884,2.0
87,round_of_32,,Uzbekistan,United States,0.001,,,,0.4289108653363923,0.5710891346636077,2.0
87,round_of_32,,Colombia,Jordan,0.0005,,,,0.8544536820118299,0.14554631798817,1.0
87,round_of_32,,DR Congo,Argentina,0.0005,,,,0.0857497204878419,0.914250279512158,1.0
87,round_of_32,,Uzbekistan,Algeria,0.0005,,,,0.3393517145854263,0.6606482854145737,1.0
87,round_of_32,,Uzbekistan,Argentina,0.0005,,,,0.1020792078266102,0.8979207921733898,1.0
87,round_of_32,,Uzbekistan,Austria,0.0005,,,,0.2901566604507021,0.7098433395492978,1.0
88,round_of_32,,Australia,Iran,0.0965,,,,0.4536549805992533,0.5463450194007466,193.0
88,round_of_32,,Turkey,Iran,0.0915,,,,0.5816965765012061,0.4183034234987939,183.0
88,round_of_32,,United States,Iran,0.0835,,,,0.4174699694742156,0.5825300305257843,167.0
88,round_of_32,,Australia,Egypt,0.0825,,,,0.5923681403119087,0.4076318596880913,165.0
88,round_of_32,,Australia,Belgium,0.081,,,,0.3016140990075643,0.6983859009924356,162.0
88,round_of_32,,Turkey,Belgium,0.074,,,,0.4206443874332928,0.5793556125667072,148.0
88,round_of_32,,Paraguay,Iran,0.0725,,,,0.445384741357443,0.554615258642557,145.0
88,round_of_32,,Turkey,Egypt,0.0675,,,,0.7068281740160433,0.2931718259839567,135.0
88,round_of_32,,United States,Belgium,0.0665,,,,0.268258602462383,0.731741397537617,133.0
88,round_of_32,,Paraguay,Belgium,0.061,,,,0.2919779583865718,0.7080220416134282,122.0
88,round_of_32,,Paraguay,Egypt,0.056,,,,0.5840483406506939,0.4159516593493061,112.0
88,round_of_32,,United States,Egypt,0.056,,,,0.558144634189994,0.4418553658100059,112.0
88,round_of_32,,Australia,New Zealand,0.0325,,,,0.7758432496379168,0.2241567503620831,65.0
88,round_of_32,,Paraguay,New Zealand,0.0275,,,,0.7596952082903251,0.2403047917096749,55.0
88,round_of_32,,United States,New Zealand,0.0265,,,,0.7463763666434542,0.2536236333565458,53.0
88,round_of_32,,Turkey,New Zealand,0.025,,,,0.8474975069630702,0.1525024930369297,50.0
89,round_of_16,,Switzerland,Japan,0.071,,,,0.4279781572864385,0.5720218427135615,142.0
89,round_of_16,,Mexico,Japan,0.0665,,,,0.4128499817424492,0.5871500182575509,133.0
89,round_of_16,,Canada,Japan,0.0605,,,,0.3381469304123133,0.6618530695876867,121.0
89,round_of_16,,Czech Republic,Japan,0.047,,,,0.2587672250379477,0.7412327749620523,94.0
89,round_of_16,,South Korea,Japan,0.047,,,,0.2686408309660658,0.7313591690339342,94.0
89,round_of_16,,Switzerland,Netherlands,0.041,,,,0.4379554793516955,0.5620445206483045,82.0
89,round_of_16,,Canada,Netherlands,0.039,,,,0.346201668773972,0.6537983312260279,78.0
89,round_of_16,,Switzerland,Brazil,0.0385,,,,0.3774125268465481,0.6225874731534519,77.0
89,round_of_16,,Canada,Brazil,0.033,,,,0.2920277925586959,0.7079722074413042,66.0
89,round_of_16,,Mexico,Netherlands,0.033,,,,0.4210844149021625,0.5789155850978376,66.0
89,round_of_16,,Mexico,Brazil,0.031,,,,0.3597791100828884,0.6402208899171116,62.0
89,round_of_16,,Czech Republic,Netherlands,0.029,,,,0.2709348998812847,0.7290651001187153,58.0
89,round_of_16,,South Korea,Brazil,0.028,,,,0.2374296309367304,0.7625703690632696,56.0
89,round_of_16,,Bosnia and Herzegovina,Japan,0.027,,,,0.1095530324924899,0.8904469675075101,54.0
89,round_of_16,,Mexico,Morocco,0.027,,,,0.4161589864298191,0.5838410135701808,54.0
89,round_of_16,,South Africa,Japan,0.0265,,,,0.1178303840926656,0.8821696159073343,53.0
89,round_of_16,,Switzerland,Morocco,0.0265,,,,0.4300237140296464,0.5699762859703537,53.0
89,round_of_16,,Canada,Morocco,0.024,,,,0.3410995195475897,0.6589004804524102,48.0
89,round_of_16,,South Korea,Netherlands,0.022,,,,0.2795309609772625,0.7204690390227375,44.0
89,round_of_16,,Czech Republic,Brazil,0.019,,,,0.231502885659912,0.7684971143400879,38.0
89,round_of_16,,South Africa,Brazil,0.018,,,,0.1180422885281699,0.88195771147183,36.0
89,round_of_16,,South Korea,Morocco,0.018,,,,0.2681362775490328,0.7318637224509672,36.0
89,round_of_16,,Czech Republic,Morocco,0.0165,,,,0.2571111124793669,0.742888887520633,33.0
89,round_of_16,,Bosnia and Herzegovina,Netherlands,0.014,,,,0.1168917678398158,0.8831082321601842,28.0
89,round_of_16,,South Africa,Netherlands,0.0135,,,,0.13015691041356,0.86984308958644,27.0
89,round_of_16,,Canada,Scotland,0.012,,,,0.5899113807426303,0.4100886192573697,24.0
89,round_of_16,,Mexico,Scotland,0.012,,,,0.6642059010455593,0.3357940989544407,24.0
89,round_of_16,,Bosnia and Herzegovina,Brazil,0.0115,,,,0.1015671088404011,0.8984328911595988,23.0
89,round_of_16,,Switzerland,Haiti,0.01,,,,0.8244310370279576,0.1755689629720423,20.0
89,round_of_16,,Canada,Tunisia,0.0095,,,,0.7350356886586796,0.2649643113413203,19.0
89,round_of_16,,South Korea,Scotland,0.009,,,,0.5134460056798483,0.4865539943201517,18.0
89,round_of_16,,Mexico,Haiti,0.0085,,,,0.8193634422441213,0.1806365577558787,17.0
89,round_of_16,,Qatar,Japan,0.008,,,,0.050821805319488,0.949178194680512,16.0
89,round_of_16,,Canada,Haiti,0.0075,,,,0.776144482342257,0.223855517657743,15.0
89,round_of_16,,Czech Republic,Haiti,0.007,,,,0.7141093328244346,0.2858906671755654,14.0
89,round_of_16,,South Korea,Haiti,0.007,,,,0.7225667205034739,0.2774332794965261,14.0
89,round_of_16,,Switzerland,Scotland,0.007,,,,0.6813890864156779,0.3186109135843221,14.0
89,round_of_16,,South Africa,Morocco,0.0065,,,,0.1113838209028637,0.8886161790971362,13.0
89,round_of_16,,Czech Republic,Tunisia,0.006,,,,0.6621563659165008,0.3378436340834991,12.0
89,round_of_16,,Bosnia and Herzegovina,Morocco,0.0055,,,,0.1082178093966321,0.8917821906033678,11.0
89,round_of_16,,Czech Republic,Scotland,0.0055,,,,0.5035616567618773,0.4964383432381227,11.0
89,round_of_16,,Qatar,Brazil,0.0055,,,,0.0528537435241223,0.9471462564758776,11.0
89,round_of_16,,Mexico,Tunisia,0.004,,,,0.7890449599582043,0.2109550400417956,8.0
89,round_of_16,,South Africa,Haiti,0.004,,,,0.4751507948639286,0.5248492051360714,8.0
89,round_of_16,,Bosnia and Herzegovina,Scotland,0.0035,,,,0.2625719325401596,0.7374280674598404,7.0
89,round_of_16,,Qatar,Netherlands,0.0035,,,,0.0565583285655862,0.9434416714344138,7.0
89,round_of_16,,Switzerland,Tunisia,0.0035,,,,0.7989955173841072,0.2010044826158927,7.0
89,round_of_16,,Bosnia and Herzegovina,Tunisia,0.003,,,,0.4079534473010258,0.5920465526989742,6.0
89,round_of_16,,South Africa,Scotland,0.003,,,,0.2699783397298039,0.7300216602701961,6.0
89,round_of_16,,Bosnia and Herzegovina,Haiti,0.0025,,,,0.4722191088521612,0.5277808911478388,5.0
89,round_of_16,,Qatar,Morocco,0.0025,,,,0.048400499223809,0.951599500776191,5.0
89,round_of_16,,South Africa,Sweden,0.0025,,,,0.3359805480631609,0.664019451936839,5.0
89,round_of_16,,Mexico,Sweden,0.002,,,,0.7324190213579655,0.2675809786420344,4.0
89,round_of_16,,Qatar,Sweden,0.002,,,,0.1789122569484884,0.8210877430515116,4.0
89,round_of_16,,Switzerland,Sweden,0.002,,,,0.7495472439325397,0.2504527560674603,4.0
89,round_of_16,,Canada,Sweden,0.0015,,,,0.6648693277716335,0.3351306722283664,3.0
89,round_of_16,,South Korea,Tunisia,0.0015,,,,0.6714313420857986,0.3285686579142014,3.0
89,round_of_16,,Bosnia and Herzegovina,Sweden,0.001,,,,0.3301134814388931,0.6698865185611069,2.0
89,round_of_16,,Czech Republic,Sweden,0.001,,,,0.5855527548092794,0.4144472451907206,2.0
89,round_of_16,,Qatar,Scotland,0.001,,,,0.1358065518177073,0.8641934481822926,2.0
89,round_of_16,,Qatar,Tunisia,0.0005,,,,0.225862518993699,0.774137481006301,1.0
89,round_of_16,,South Africa,Tunisia,0.0005,,,,0.4071710202239014,0.5928289797760986,1.0
89,round_of_16,,South Korea,Sweden,0.0005,,,,0.5942343624496265,0.4057656375503735,1.0
90,round_of_16,,Germany,Norway,0.051,,,,0.5363562472918983,0.4636437527081016,102.0
90,round_of_16,,Germany,Senegal,0.0455,,,,0.6827955437478943,0.3172044562521057,91.0
90,round_of_16,,Germany,France,0.045,,,,0.4064693042060614,0.5935306957939386,90.0
90,round_of_16,,Ivory Coast,Norway,0.0425,,,,0.316067885424248,0.683932114575752,85.0
90,round_of_16,,Ivory Coast,Senegal,0.0365,,,,0.4630495380479367,0.5369504619520633,73.0
90,round_of_16,,Ivory Coast,France,0.0325,,,,0.225788860475335,0.774211139524665,65.0
90,round_of_16,,Ecuador,Norway,0.031,,,,0.4764636975184217,0.5235363024815782,62.0
90,round_of_16,,Brazil,Norway,0.0245,,,,0.5714297284760221,0.4285702715239778,49.0
90,round_of_16,,Ecuador,Senegal,0.0235,,,,0.6345626758028798,0.3654373241971201,47.0
90,round_of_16,,Ecuador,France,0.0225,,,,0.3435941879555346,0.6564058120444654,45.0
90,round_of_16,,Brazil,Senegal,0.0195,,,,0.7095766436745493,0.2904233563254507,39.0
90,round_of_16,,Paraguay,Norway,0.0165,,,,0.3010710302366819,0.6989289697633181,33.0
90,round_of_16,,Australia,Norway,0.0145,,,,0.3118034971212338,0.6881965028787662,29.0
90,round_of_16,,Ivory Coast,Netherlands,0.0145,,,,0.3080127383500088,0.6919872616499911,29.0
90,round_of_16,,Germany,Netherlands,0.0135,,,,0.5269725071885437,0.4730274928114563,27.0
90,round_of_16,,Turkey,Norway,0.0135,,,,0.4321532609827725,0.5678467390172275,27.0
90,round_of_16,,United States,Norway,0.0135,,,,0.2774652854110456,0.7225347145889545,27.0
90,round_of_16,,Scotland,Norway,0.013,,,,0.2733325932484604,0.7266674067515395,26.0
90,round_of_16,,Brazil,France,0.0125,,,,0.4407877680526487,0.5592122319473514,25.0
90,round_of_16,,Turkey,Senegal,0.012,,,,0.5911199566578959,0.4088800433421041,24.0
90,round_of_16,,Germany,Japan,0.0105,,,,0.5138288427839043,0.4861711572160957,21.0
90,round_of_16,,Ivory Coast,Tunisia,0.0105,,,,0.6959080491481173,0.3040919508518827,21.0
90,round_of_16,,Paraguay,France,0.01,,,,0.2007695799405245,0.7992304200594755,20.0
90,round_of_16,,Scotland,France,0.01,,,,0.1862346855025403,0.8137653144974596,20.0
90,round_of_16,,Germany,Tunisia,0.009,,,,0.8487387745923405,0.1512612254076595,18.0
90,round_of_16,,Morocco,Senegal,0.009,,,,0.6779208481415323,0.3220791518584677,18.0
90,round_of_16,,Paraguay,Netherlands,0.009,,,,0.2911196829584242,0.7088803170415758,18.0
90,round_of_16,,Australia,France,0.0085,,,,0.2163885851033699,0.78361141489663,17.0
90,round_of_16,,Haiti,France,0.0085,,,,0.1086446968417221,0.8913553031582778,17.0
90,round_of_16,,Ivory Coast,Japan,0.0085,,,,0.29449891615927,0.7055010838407301,17.0
90,round_of_16,,Paraguay,Senegal,0.0085,,,,0.4569435614561634,0.5430564385438366,17.0
90,round_of_16,,Turkey,France,0.0085,,,,0.3100416078265735,0.6899583921734265,17.0
90,round_of_16,,United States,France,0.0085,,,,0.18672778949761,0.81327221050239,17.0
90,round_of_16,,Curaçao,Norway,0.0075,,,,0.0831053233246869,0.916894676675313,15.0
90,round_of_16,,Haiti,Norway,0.0075,,,,0.1395412944890827,0.8604587055109173,15.0
90,round_of_16,,Scotland,Senegal,0.0075,,,,0.4217031577395871,0.5782968422604129,15.0
90,round_of_16,,United States,Senegal,0.0075,,,,0.4282882954382062,0.5717117045617938,15.0
90,round_of_16,,Australia,Netherlands,0.007,,,,0.3033089203213833,0.6966910796786168,14.0
90,round_of_16,,Australia,Senegal,0.007,,,,0.4644748999944623,0.5355251000055377,14.0
90,round_of_16,,Germany,Sweden,0.007,,,,0.813169083230879,0.186830916769121,14.0
90,round_of_16,,Ivory Coast,Sweden,0.007,,,,0.6190215842467838,0.3809784157532162,14.0
90,round_of_16,,Morocco,Norway,0.007,,,,0.528006506318092,0.471993493681908,14.0
90,round_of_16,,Brazil,United States,0.0065,,,,0.7745677718488843,0.2254322281511157,13.0
90,round_of_16,,Turkey,Netherlands,0.006,,,,0.4224143209524119,0.5775856790475882,12.0
90,round_of_16,,Curaçao,Senegal,0.0055,,,,0.133908683284535,0.8660913167154649,11.0
90,round_of_16,,Ecuador,Netherlands,0.0055,,,,0.4636762886679576,0.5363237113320424,11.0
90,round_of_16,,Paraguay,Japan,0.0055,,,,0.2867049993862649,0.7132950006137351,11.0
90,round_of_16,,Paraguay,Tunisia,0.0055,,,,0.6838067867406971,0.3161932132593029,11.0
90,round_of_16,,Turkey,Japan,0.0055,,,,0.4127284099762744,0.5872715900237255,11.0
90,round_of_16,,Ecuador,Japan,0.005,,,,0.4579495526435791,0.5420504473564208,10.0
90,round_of_16,,Ecuador,Tunisia,0.005,,,,0.8133208465757947,0.1866791534242052,10.0
90,round_of_16,,Germany,United States,0.005,,,,0.7520225050289921,0.2479774949710078,10.0
90,round_of_16,,Morocco,France,0.005,,,,0.3954679199482592,0.6045320800517408,10.0
90,round_of_16,,Brazil,Netherlands,0.0045,,,,0.5624606597749459,0.4375393402250541,9.0
90,round_of_16,,Germany,Spain,0.0045,,,,0.2976719484521957,0.7023280515478043,9.0
90,round_of_16,,Ivory Coast,Paraguay,0.0045,,,,0.5053784730105885,0.4946215269894115,9.0
90,round_of_16,,Australia,Japan,0.004,,,,0.2934522398379395,0.7065477601620604,8.0
90,round_of_16,,Brazil,Paraguay,0.004,,,,0.7591022593931958,0.2408977406068042,8.0
90,round_of_16,,Brazil,Turkey,0.004,,,,0.6369768505036153,0.3630231494963847,8.0
90,round_of_16,,Ecuador,Turkey,0.004,,,,0.5365055903756231,0.4634944096243769,8.0
90,round_of_16,,Germany,Australia,0.004,,,,0.7184050389966907,0.2815949610033093,8.0
90,round_of_16,,Germany,Belgium,0.004,,,,0.5239991432482366,0.4760008567517634,8.0
90,round_of_16,,Germany,Egypt,0.004,,,,0.7819363419077903,0.2180636580922097,8.0
90,round_of_16,,Germany,Paraguay,0.004,,,,0.7323530707578892,0.2676469292421107,8.0
90,round_of_16,,Haiti,Senegal,0.004,,,,0.2238238008583199,0.7761761991416801,8.0
90,round_of_16,,Ivory Coast,Australia,0.004,,,,0.4980625666951007,0.5019374333048993,8.0
90,round_of_16,,Netherlands,Norway,0.004,,,,0.510095646210057,0.489904353789943,8.0
90,round_of_16,,Brazil,Australia,0.0035,,,,0.7434499165397411,0.2565500834602588,7.0
90,round_of_16,,Curaçao,France,0.0035,,,,0.0716098951977269,0.928390104802273,7.0
90,round_of_16,,Ecuador,Egypt,0.0035,,,,0.7409473254756221,0.2590526745243778,7.0
90,round_of_16,,Ecuador,Paraguay,0.0035,,,,0.6730119815718159,0.3269880184281841,7.0
90,round_of_16,,Ecuador,United States,0.0035,,,,0.6930426746705335,0.3069573253294665,7.0
90,round_of_16,,Haiti,Netherlands,0.0035,,,,0.1409113007601296,0.8590886992398703,7.0
90,round_of_16,,Ivory Coast,Turkey,0.0035,,,,0.3749528704226774,0.6250471295773226,7.0
90,round_of_16,,Australia,Tunisia,0.003,,,,0.6960147005085812,0.3039852994914188,6.0
90,round_of_16,,Brazil,Tunisia,0.003,,,,0.8590019239029602,0.1409980760970398,6.0
90,round_of_16,,Ecuador,Australia,0.003,,,,0.6655979469725826,0.3344020530274174,6.0
90,round_of_16,,Germany,Iraq,0.003,,,,0.8725757037348653,0.1274242962651347,6.0
90,round_of_16,,Germany,Turkey,0.003,,,,0.6045951643182648,0.3954048356817352,6.0
90,round_of_16,,Morocco,Netherlands,0.003,,,,0.513760308843874,0.486239691156126,6.0
90,round_of_16,,United States,Japan,0.003,,,,0.2627304848185228,0.7372695151814772,6.0
90,round_of_16,,United States,Netherlands,0.003,,,,0.269717619541356,0.730282380458644,6.0
90,round_of_16,,United States,Tunisia,0.003,,,,0.6636625448688905,0.3363374551311094,6.0
90,round_of_16,,Australia,Sweden,0.0025,,,,0.6203912059310781,0.3796087940689219,5.0
90,round_of_16,,Germany,Iran,0.0025,,,,0.6754309033023883,0.3245690966976117,5.0
90,round_of_16,,Germany,Uruguay,0.0025,,,,0.6749120930638229,0.325087906936177,5.0
90,round_of_16,,Ivory Coast,Egypt,0.0025,,,,0.589583630397751,0.410416369602249,5.0
90,round_of_16,,Ivory Coast,Iraq,0.0025,,,,0.7370099970867002,0.2629900029132997,5.0
90,round_of_16,,Ivory Coast,United States,0.0025,,,,0.5343819908919155,0.4656180091080845,5.0
90,round_of_16,,Ivory Coast,Uruguay,0.0025,,,,0.4390793049814651,0.5609206950185348,5.0
90,round_of_16,,Morocco,United States,0.0025,,,,0.7336030869978402,0.2663969130021598,5.0
90,round_of_16,,Paraguay,Sweden,0.0025,,,,0.6053107165205789,0.3946892834794211,5.0
90,round_of_16,,Scotland,Paraguay,0.0025,,,,0.471721075246503,0.5282789247534969,5.0
90,round_of_16,,South Korea,France,0.0025,,,,0.1994731323073467,0.8005268676926532,5.0
90,round_of_16,,Sweden,France,0.0025,,,,0.1387684749891786,0.8612315250108213,5.0
90,round_of_16,,Turkey,Sweden,0.0025,,,,0.7381938440669837,0.2618061559330162,5.0
90,round_of_16,,Turkey,Tunisia,0.0025,,,,0.788776741049726,0.211223258950274,5.0
90,round_of_16,,Brazil,Iraq,0.002,,,,0.8808740223310512,0.1191259776689488,4.0
90,round_of_16,,Brazil,Japan,0.002,,,,0.5516138819189668,0.4483861180810332,4.0
90,round_of_16,,Czech Republic,France,0.002,,,,0.1941628285628286,0.8058371714371713,4.0
90,round_of_16,,Ecuador,Sweden,0.002,,,,0.7608443312171008,0.2391556687828991,4.0
90,round_of_16,,Germany,New Zealand,0.002,,,,0.8949564048704968,0.1050435951295032,4.0
90,round_of_16,,Haiti,Paraguay,0.002,,,,0.2733185448096131,0.7266814551903868,4.0
90,round_of_16,,Haiti,Tunisia,0.002,,,,0.4335674244132395,0.5664325755867605,4.0
90,round_of_16,,Haiti,Turkey,0.002,,,,0.1856950043167061,0.8143049956832938,4.0
90,round_of_16,,Haiti,United States,0.002,,,,0.2917161302147268,0.7082838697852731,4.0
90,round_of_16,,Ivory Coast,Belgium,0.002,,,,0.3053846628594324,0.6946153371405676,4.0
90,round_of_16,,Ivory Coast,Iran,0.002,,,,0.4526859987056377,0.5473140012943623,4.0
90,round_of_16,,Japan,Norway,0.002,,,,0.5246495687130787,0.4753504312869213,4.0
90,round_of_16,,Scotland,Japan,0.002,,,,0.2576873089993632,0.7423126910006368,4.0
90,round_of_16,,Scotland,Turkey,0.002,,,,0.3319920508067208,0.6680079491932791,4.0
90,round_of_16,,Tunisia,Norway,0.002,,,,0.1662371475606789,0.8337628524393211,4.0
90,round_of_16,,Australia,Uruguay,0.0015,,,,0.4426369576311201,0.5573630423688799,3.0
90,round_of_16,,Czech Republic,Belgium,0.0015,,,,0.2667969464285247,0.7332030535714753,3.0
90,round_of_16,,Ecuador,Iran,0.0015,,,,0.6244871067215202,0.3755128932784798,3.0
90,round_of_16,,Ecuador,Uruguay,0.0015,,,,0.6123269966516893,0.3876730033483107,3.0
90,round_of_16,,Ivory Coast,Spain,0.0015,,,,0.1593502868009011,0.8406497131990989,3.0
90,round_of_16,,Japan,France,0.0015,,,,0.3933510950895046,0.6066489049104953,3.0
90,round_of_16,,Morocco,Japan,0.0015,,,,0.5021963570157761,0.4978036429842238,3.0
90,round_of_16,,Morocco,Paraguay,0.0015,,,,0.7074082103927866,0.2925917896072134,3.0
90,round_of_16,,Morocco,Turkey,0.0015,,,,0.5847501542460797,0.4152498457539203,3.0
90,round_of_16,,Netherlands,Belgium,0.0015,,,,0.4977712722815451,0.502228727718455,3.0
90,round_of_16,,Netherlands,France,0.0015,,,,0.3809930049521787,0.6190069950478213,3.0
90,round_of_16,,Netherlands,Senegal,0.0015,,,,0.6613275687533046,0.3386724312466954,3.0
90,round_of_16,,Scotland,Tunisia,0.0015,,,,0.6592030489211425,0.3407969510788575,3.0
90,round_of_16,,Scotland,United States,0.0015,,,,0.494130516396766,0.505869483603234,3.0
90,round_of_16,,Turkey,Egypt,0.0015,,,,0.7068281740160433,0.2931718259839567,3.0
90,round_of_16,,United States,Iraq,0.0015,,,,0.7082911467556431,0.2917088532443569,3.0
90,round_of_16,,Australia,Iraq,0.001,,,,0.7374630562380415,0.2625369437619584,2.0
90,round_of_16,,Brazil,Sweden,0.001,,,,0.8300276354927923,0.1699723645072076,2.0
90,round_of_16,,Curaçao,Sweden,0.001,,,,0.2432877877509833,0.7567122122490166,2.0
90,round_of_16,,Curaçao,Turkey,0.001,,,,0.1202335396501294,0.8797664603498706,2.0
90,round_of_16,,Czech Republic,Norway,0.001,,,,0.2768549490442956,0.7231450509557044,2.0
90,round_of_16,,Ecuador,Belgium,0.001,,,,0.4655775183670963,0.5344224816329037,2.0
90,round_of_16,,Ecuador,Iraq,0.001,,,,0.8413988380271451,0.1586011619728549,2.0
90,round_of_16,,Ecuador,Saudi Arabia,0.001,,,,0.8611281465654806,0.1388718534345193,2.0
90,round_of_16,,Haiti,Japan,0.001,,,,0.1264245753941901,0.8735754246058098,2.0
90,round_of_16,,Mexico,Norway,0.001,,,,0.4324756136515216,0.5675243863484783,2.0
90,round_of_16,,Morocco,Iraq,0.001,,,,0.8720810148210042,0.1279189851789958,2.0
90,round_of_16,,Morocco,Sweden,0.001,,,,0.7971543625719144,0.2028456374280856,2.0
90,round_of_16,,Morocco,Uruguay,0.001,,,,0.6477831169123855,0.3522168830876144,2.0
90,round_of_16,,Netherlands,New Zealand,0.001,,,,0.8860321071608198,0.1139678928391801,2.0
90,round_of_16,,Paraguay,Iran,0.001,,,,0.445384741357443,0.554615258642557,2.0
90,round_of_16,,Paraguay,Iraq,0.001,,,,0.7260909481362213,0.2739090518637787,2.0
90,round_of_16,,Paraguay,Saudi Arabia,0.001,,,,0.7562290988652948,0.2437709011347052,2.0
90,round_of_16,,Scotland,Australia,0.001,,,,0.4584210883525852,0.5415789116474148,2.0
90,round_of_16,,Scotland,Iraq,0.001,,,,0.7041316447438399,0.29586835525616,2.0
90,round_of_16,,Scotland,Netherlands,0.001,,,,0.2662160902791275,0.7337839097208725,2.0
90,round_of_16,,South Africa,Iran,0.001,,,,0.2028939770370459,0.7971060229629541,2.0
90,round_of_16,,South Korea,Norway,0.001,,,,0.2865369624829172,0.7134630375170827,2.0
90,round_of_16,,Sweden,Norway,0.001,,,,0.2109389800114663,0.7890610199885337,2.0
90,round_of_16,,Tunisia,France,0.001,,,,0.1172803258941564,0.8827196741058435,2.0
90,round_of_16,,Turkey,Belgium,0.001,,,,0.4206443874332928,0.5793556125667072,2.0
90,round_of_16,,Turkey,Spain,0.001,,,,0.2171035589035916,0.7828964410964083,2.0
90,round_of_16,,United States,Belgium,0.001,,,,0.268258602462383,0.731741397537617,2.0
90,round_of_16,,United States,Egypt,0.001,,,,0.558144634189994,0.4418553658100059,2.0
90,round_of_16,,United States,Sweden,0.001,,,,0.5873868235060585,0.4126131764939414,2.0
90,round_of_16,,United States,Uruguay,0.001,,,,0.4130331460508915,0.5869668539491085,2.0
90,round_of_16,,Australia,Belgium,0.0005,,,,0.3016140990075643,0.6983859009924356,1.0
90,round_of_16,,Australia,Egypt,0.0005,,,,0.5923681403119087,0.4076318596880913,1.0
90,round_of_16,,Australia,Iran,0.0005,,,,0.4536549805992533,0.5463450194007466,1.0
90,round_of_16,,Australia,Saudi Arabia,0.0005,,,,0.7684972899268713,0.2315027100731287,1.0
