match_number,round,group,first_team,second_team,pairing_probability,first_win_probability,draw_probability,second_win_probability,first_advancement_probability,second_advancement_probability,simulation_count
73,round_of_32,,South Africa,Canada,0.0785,,,,0.2056469616792088,0.7943530383207911,157.0
73,round_of_32,,South Korea,Canada,0.0765,,,,0.4214946845216333,0.5785053154783667,153.0
73,round_of_32,,Czech Republic,Switzerland,0.0715,,,,0.3238377679059568,0.6761622320940431,143.0
73,round_of_32,,South Africa,Switzerland,0.0655,,,,0.1608697350878501,0.8391302649121499,131.0
73,round_of_32,,Czech Republic,Bosnia and Herzegovina,0.059,,,,0.7420141624244533,0.2579858375755467,118.0
73,round_of_32,,Mexico,Bosnia and Herzegovina,0.0585,,,,0.843262431006945,0.156737568993055,117.0
73,round_of_32,,South Africa,Bosnia and Herzegovina,0.0525,,,,0.4989433167498744,0.5010566832501255,105.0
73,round_of_32,,South Korea,Bosnia and Herzegovina,0.0505,,,,0.7488814174859578,0.2511185825140422,101.0
73,round_of_32,,South Korea,Qatar,0.04,,,,0.8734251003836013,0.1265748996163986,80.0
73,round_of_32,,Mexico,Qatar,0.038,,,,0.9204972421432462,0.0795027578567537,76.0
73,round_of_32,,Czech Republic,Qatar,0.0365,,,,0.870598755028817,0.129401244971183,73.0
73,round_of_32,,South Africa,Qatar,0.034,,,,0.7032267819878396,0.2967732180121604,68.0
74,round_of_32,,Ivory Coast,Brazil,0.0515,,,,0.2641934206404477,0.7358065793595523,103.0
74,round_of_32,,Germany,Haiti,0.0505,,,,0.8672727495924376,0.1327272504075624,101.0
74,round_of_32,,Ivory Coast,Paraguay,0.049,,,,0.5053784730105885,0.4946215269894115,98.0
74,round_of_32,,Ivory Coast,Haiti,0.0485,,,,0.7505793835774133,0.2494206164225867,97.0
74,round_of_32,,Ivory Coast,Australia,0.0445,,,,0.4980625666951007,0.5019374333048993,89.0
74,round_of_32,,Ivory Coast,Turkey,0.0445,,,,0.3749528704226774,0.6250471295773226,89.0
74,round_of_32,,Germany,Paraguay,0.044,,,,0.7323530707578892,0.2676469292421107,88.0
74,round_of_32,,Ivory Coast,Scotland,0.0435,,,,0.5410467722711241,0.4589532277288759,87.0
74,round_of_32,,Germany,Brazil,0.038,,,,0.4646273949509034,0.5353726050490966,76.0
74,round_of_32,,Ivory Coast,United States,0.037,,,,0.5343819908919155,0.4656180091080845,74.0
74,round_of_32,,Germany,United States,0.0365,,,,0.7520225050289921,0.2479774949710078,73.0
74,round_of_32,,Germany,Australia,0.036,,,,0.7184050389966907,0.2815949610033093,72.0
74,round_of_32,,Germany,Turkey,0.035,,,,0.6045951643182648,0.3954048356817352,70.0
74,round_of_32,,Germany,Scotland,0.0325,,,,0.7545472047042647,0.2454527952957352,65.0
74,round_of_32,,Ecuador,Brazil,0.0295,,,,0.3975166975674105,0.6024833024325895,59.0
74,round_of_32,,Ecuador,Haiti,0.0255,,,,0.8385927224417464,0.1614072775582535,51.0
74,round_of_32,,Ecuador,United States,0.023,,,,0.6930426746705335,0.3069573253294665,46.0
74,round_of_32,,Ecuador,Australia,0.0215,,,,0.6655979469725826,0.3344020530274174,43.0
74,round_of_32,,Ecuador,Turkey,0.0215,,,,0.5365055903756231,0.4634944096243769,43.0
74,round_of_32,,Ecuador,Paraguay,0.021,,,,0.6730119815718159,0.3269880184281841,42.0
74,round_of_32,,Ivory Coast,Morocco,0.02,,,,0.2908234103214677,0.7091765896785323,40.0
74,round_of_32,,Ecuador,Scotland,0.018,,,,0.699024323309308,0.300975676690692,36.0
74,round_of_32,,Germany,Morocco,0.0165,,,,0.5122108798036126,0.4877891201963874,33.0
74,round_of_32,,Curaçao,Haiti,0.016,,,,0.3410742911627058,0.6589257088372942,32.0
74,round_of_32,,Curaçao,Brazil,0.0155,,,,0.0855421147866084,0.9144578852133916,31.0
74,round_of_32,,Curaçao,Australia,0.0145,,,,0.1602708364209063,0.8397291635790937,29.0
74,round_of_32,,Curaçao,Paraguay,0.014,,,,0.1817940296312739,0.8182059703687261,28.0
74,round_of_32,,Curaçao,Morocco,0.013,,,,0.0666847072113986,0.9333152927886014,26.0
74,round_of_32,,Ivory Coast,Tunisia,0.0115,,,,0.6959080491481173,0.3040919508518827,23.0
74,round_of_32,,Curaçao,United States,0.0105,,,,0.1915557982672401,0.8084442017327599,21.0
74,round_of_32,,Germany,Tunisia,0.0105,,,,0.8487387745923405,0.1512612254076595,21.0
74,round_of_32,,Curaçao,Scotland,0.01,,,,0.1888568823031036,0.8111431176968963,20.0
74,round_of_32,,Curaçao,Turkey,0.01,,,,0.1202335396501294,0.8797664603498706,20.0
74,round_of_32,,Ivory Coast,Netherlands,0.0095,,,,0.3080127383500088,0.6919872616499911,19.0
74,round_of_32,,Ecuador,Morocco,0.008,,,,0.4636258333893708,0.5363741666106292,16.0
74,round_of_32,,Ivory Coast,Sweden,0.0075,,,,0.6190215842467838,0.3809784157532162,15.0
74,round_of_32,,Germany,Netherlands,0.0055,,,,0.5269725071885437,0.4730274928114563,11.0
74,round_of_32,,Germany,Czech Republic,0.0045,,,,0.7484609884527081,0.2515390115472918,9.0
74,round_of_32,,Ivory Coast,Japan,0.0045,,,,0.29449891615927,0.7055010838407301,9.0
74,round_of_32,,Germany,Sweden,0.004,,,,0.813169083230879,0.186830916769121,8.0
74,round_of_32,,Ivory Coast,South Africa,0.004,,,,0.767337678791411,0.2326623212085889,8.0
74,round_of_32,,Ecuador,Tunisia,0.0035,,,,0.8133208465757947,0.1866791534242052,7.0
74,round_of_32,,Germany,South Africa,0.0035,,,,0.8774889400700742,0.1225110599299258,7.0
74,round_of_32,,Ivory Coast,Czech Republic,0.003,,,,0.5411189136400607,0.4588810863599393,6.0
