match_number,date,time_local,group,home_team,away_team,predicted_score,predicted_score_outcome,predicted_score_probability,top_scorelines,ensemble_home_win,ensemble_draw,ensemble_away_win,form_poisson_home_expected_goals,form_poisson_away_expected_goals,most_likely_outcome,most_likely_probability
37,2026-06-21,6:00 p.m.,H,Uruguay,Cape Verde,0-0,draw,0.170842015874053,0-0 (0.171); 1-0 (0.159); 0-1 (0.143); 1-1 (0.133); 2-0 (0.074),0.6231335406277081,0.2368058777838186,0.1400605815884734,0.9309301524406224,0.8360858873574589,home_win,0.6231335406277081
38,2026-06-21,12:00 p.m.,H,Spain,Saudi Arabia,2-0,home_win,0.1370064216427839,2-0 (0.137); 1-0 (0.136); 2-1 (0.093); 1-1 (0.093); 3-0 (0.092),0.7406413557106275,0.2166230053558881,0.0427356389334844,2.011567560710772,0.6808500983981205,home_win,0.7406413557106275
39,2026-06-21,12:00 p.m.,G,Belgium,Iran,1-1,draw,0.1219354581697808,1-1 (0.122); 1-0 (0.099); 2-1 (0.089); 0-1 (0.084); 1-2 (0.075),0.5076030897430293,0.2255220953944601,0.2668748148625106,1.4589217740030809,1.2302883925981771,home_win,0.5076030897430293
40,2026-06-21,6:00 p.m.,G,New Zealand,Egypt,0-1,away_win,0.1564822715460045,0-1 (0.156); 1-1 (0.127); 0-0 (0.117); 0-2 (0.104); 1-0 (0.095),0.2264301808755836,0.2293954866543187,0.5441743324700977,0.809413922722135,1.3323223759011606,away_win,0.5441743324700977
41,2026-06-22,8:00 p.m.,I,Norway,Senegal,1-1,draw,0.1228865041032349,1-1 (0.123); 1-0 (0.093); 0-1 (0.090); 2-1 (0.084); 1-2 (0.081),0.5050835494833686,0.2258324472279503,0.269084003288681,1.361946066851519,1.3244919697562196,home_win,0.5050835494833686
42,2026-06-22,5:00 p.m.,I,France,Iraq,1-0,home_win,0.1444343150017965,1-0 (0.144); 1-1 (0.121); 2-0 (0.109); 0-0 (0.096); 2-1 (0.091),0.6974091368210645,0.226055657529285,0.0765352056496505,1.5116302341587715,0.8364894978132629,home_win,0.6974091368210645
43,2026-06-22,12:00 p.m.,J,Argentina,Austria,1-0,home_win,0.1623187534970074,1-0 (0.162); 1-1 (0.127); 0-0 (0.126); 2-0 (0.105); 0-1 (0.099),0.6052812436281938,0.2303293050441733,0.1643894513276328,1.2896154611642765,0.7829220109580273,home_win,0.6052812436281938
44,2026-06-22,8:00 p.m.,J,Jordan,Algeria,0-2,away_win,0.1304820233733745,0-2 (0.130); 0-1 (0.115); 0-3 (0.099); 1-2 (0.093); 1-1 (0.082),0.1823094706064353,0.2129202156348981,0.6047703137586665,0.7134321482816006,2.26598824255401,away_win,0.6047703137586665
45,2026-06-23,4:00 p.m.,L,England,Ghana,2-0,home_win,0.1582143762141462,2-0 (0.158); 1-0 (0.157); 3-0 (0.106); 2-1 (0.085); 1-1 (0.084),0.733785639372123,0.2151647262059385,0.0510496344219383,2.016851977957691,0.5368899076538182,home_win,0.733785639372123
46,2026-06-23,7:00 p.m.,L,Panama,Croatia,1-1,draw,0.1028096233275455,1-1 (0.103); 1-2 (0.095); 0-1 (0.079); 0-2 (0.074); 2-1 (0.067),0.1999341286108202,0.2210039348459762,0.5790619365432036,1.2964234720659211,1.857062277842316,away_win,0.5790619365432036
