match_number,round,first_team,second_team,pairing_probability,first_advancement_probability,second_advancement_probability,simulation_count,most_likely_advancing_team,most_likely_advancement_probability
75,round_of_32,Japan,Scotland,0.1085,0.7252664969380924,0.2747335030619076,217,Japan,0.7252664969380924
75,round_of_32,Netherlands,Scotland,0.1015,0.7189154293640287,0.2810845706359712,203,Netherlands,0.7189154293640287
75,round_of_32,Sweden,Brazil,0.0765,0.208523800851896,0.791476199148104,153,Brazil,0.791476199148104
75,round_of_32,Sweden,Morocco,0.064,0.235660359825345,0.7643396401746549,128,Morocco,0.7643396401746549
75,round_of_32,Sweden,Scotland,0.0595,0.4574699658087607,0.5425300341912394,119,Scotland,0.5425300341912394
75,round_of_32,Japan,Haiti,0.0335,0.8740795103234311,0.1259204896765688,67,Japan,0.8740795103234311
75,round_of_32,Netherlands,Haiti,0.0275,0.8631898236161952,0.1368101763838047,55,Netherlands,0.8631898236161952
75,round_of_32,Sweden,Haiti,0.018,0.6942284666417015,0.3057715333582985,36,Sweden,0.6942284666417015
75,round_of_32,Tunisia,Morocco,0.006,0.1236903502660048,0.8763096497339952,12,Morocco,0.8763096497339952
75,round_of_32,Tunisia,Scotland,0.006,0.2816730818897299,0.71832691811027,12,Scotland,0.71832691811027
75,round_of_32,Tunisia,Brazil,0.0045,0.1200158757811552,0.8799841242188448,9,Brazil,0.8799841242188448
75,round_of_32,Tunisia,Haiti,0.0015,0.5262172168682877,0.4737827831317123,3,Tunisia,0.5262172168682877
76,round_of_32,Morocco,Netherlands,0.1845,0.519993053000307,0.480006946999693,369,Morocco,0.519993053000307
76,round_of_32,Morocco,Japan,0.17,0.5115541491366451,0.4884458508633549,340,Morocco,0.5115541491366451
76,round_of_32,Morocco,Sweden,0.1275,0.7643396401746549,0.235660359825345,255,Morocco,0.7643396401746549
76,round_of_32,Scotland,Netherlands,0.0935,0.2810845706359711,0.718915429364029,187,Netherlands,0.718915429364029
76,round_of_32,Scotland,Japan,0.0895,0.2747335030619076,0.7252664969380924,179,Japan,0.7252664969380924
76,round_of_32,Brazil,Japan,0.081,0.5510821517919142,0.4489178482080858,162,Brazil,0.5510821517919142
76,round_of_32,Brazil,Netherlands,0.0795,0.5582713034828483,0.4417286965171517,159,Brazil,0.5582713034828483
76,round_of_32,Brazil,Sweden,0.057,0.7914761991481041,0.2085238008518959,114,Brazil,0.7914761991481041
76,round_of_32,Scotland,Sweden,0.0535,0.5425300341912394,0.4574699658087606,107,Scotland,0.5425300341912394
76,round_of_32,Haiti,Netherlands,0.0215,0.1368101763838048,0.8631898236161952,43,Netherlands,0.8631898236161952
76,round_of_32,Haiti,Japan,0.0145,0.1259204896765688,0.8740795103234311,29,Japan,0.8740795103234311
76,round_of_32,Haiti,Sweden,0.012,0.3057715333582986,0.6942284666417013,24,Sweden,0.6942284666417013
76,round_of_32,Morocco,Tunisia,0.007,0.8763096497339952,0.1236903502660048,14,Morocco,0.8763096497339952
76,round_of_32,Scotland,Tunisia,0.006,0.7183269181102702,0.2816730818897298,12,Scotland,0.7183269181102702
76,round_of_32,Brazil,Tunisia,0.0025,0.8799841242188445,0.1200158757811554,5,Brazil,0.8799841242188445
76,round_of_32,Haiti,Tunisia,0.0005,0.4737827831317122,0.5262172168682877,1,Tunisia,0.5262172168682877
77,round_of_32,Norway,Sweden,0.1335,0.7510767011821896,0.2489232988178104,267,Norway,0.7510767011821896
77,round_of_32,Senegal,Sweden,0.105,0.6064375842150526,0.3935624157849474,210,Senegal,0.6064375842150526
77,round_of_32,France,Sweden,0.0805,0.8333386363381288,0.1666613636618712,161,France,0.8333386363381288
77,round_of_32,Norway,Netherlands,0.0515,0.4941554462933903,0.5058445537066096,103,Netherlands,0.5058445537066096
77,round_of_32,Norway,Japan,0.047,0.4834182770570667,0.5165817229429333,94,Japan,0.5165817229429333
77,round_of_32,Senegal,Japan,0.046,0.3322791248322185,0.6677208751677814,92,Japan,0.6677208751677814
77,round_of_32,Senegal,Netherlands,0.0395,0.3425336358894176,0.6574663641105825,79,Netherlands,0.6574663641105825
77,round_of_32,Norway,Tunisia,0.0325,0.8639059098715294,0.1360940901284706,65,Norway,0.8639059098715294
77,round_of_32,France,Netherlands,0.0295,0.6228921868698374,0.3771078131301626,59,France,0.6228921868698374
77,round_of_32,France,Japan,0.028,0.614067141987339,0.385932858012661,56,France,0.614067141987339
77,round_of_32,Norway,Turkey,0.0265,0.6261466685747529,0.3738533314252471,53,Norway,0.6261466685747529
77,round_of_32,Norway,United States,0.025,0.6763808632370946,0.3236191367629054,50,Norway,0.6763808632370946
77,round_of_32,Senegal,Turkey,0.0235,0.4658145140737675,0.5341854859262325,47,Turkey,0.5341854859262325
77,round_of_32,Senegal,Tunisia,0.0215,0.7692270928697634,0.2307729071302365,43,Senegal,0.7692270928697634
77,round_of_32,Iraq,Sweden,0.018,0.3195621621998558,0.6804378378001442,36,Sweden,0.6804378378001442
77,round_of_32,France,Tunisia,0.017,0.9042849485312916,0.0957150514687085,34,France,0.9042849485312916
77,round_of_32,Norway,Egypt,0.015,0.7588695240965712,0.2411304759034288,30,Norway,0.7588695240965712
77,round_of_32,France,Turkey,0.013,0.7388453669217105,0.2611546330782894,26,France,0.7388453669217105
77,round_of_32,Senegal,Iran,0.0125,0.4896034543251663,0.5103965456748337,25,Iran,0.5103965456748337
77,round_of_32,France,United States,0.011,0.7785066247706719,0.2214933752293281,22,France,0.7785066247706719
77,round_of_32,Norway,Iran,0.011,0.6441188672606941,0.3558811327393059,22,Norway,0.6441188672606941
77,round_of_32,Norway,New Zealand,0.0105,0.8857611913189621,0.1142388086810378,21,Norway,0.8857611913189621
77,round_of_32,Norway,Belgium,0.01,0.4872773310783438,0.5127226689216562,20,Belgium,0.5127226689216562
77,round_of_32,France,Egypt,0.0095,0.8317953957546352,0.1682046042453647,19,France,0.8317953957546352
77,round_of_32,Norway,Uruguay,0.0095,0.6376019105087947,0.3623980894912053,19,Norway,0.6376019105087947
77,round_of_32,Senegal,Egypt,0.0095,0.6253567545147501,0.3746432454852498,19,Senegal,0.6253567545147501
77,round_of_32,Senegal,United States,0.0095,0.5190088825885003,0.4809911174114997,19,Senegal,0.5190088825885003
